N1440,"Administrative Support Clerks","1441 - Administrative Clerks; 1442 - Personnel Clerks; 1443 - Court Clerks"
N1450,"Library, Correspondence And Related Information Clerks","1451 - Library Clerks; 1452 - Correspondence, Publication and Related Clerks; 1453 - Customer Service, Information and Related Clerks; 1454 - Survey Interviewers and Statistical Clerks"
N1461,"Mail, Postal and Related Clerks","1461 - Mail, Postal and Related Clerks"
N1462,"Letter Carriers","1462 - Letter Carriers"
N1463,"Couriers and Messengers","1463 - Couriers and Messengers"
N1471,"Shippers and Receivers","1471 - Shippers and Receivers"
N1472,"Other Recording, Scheduling and Distributing Occupations (Storekeepers and Parts, Production, Purchasing and Inventory, Dispatchers and Radio Operators, Transportation Route and Crew Schedulers)","1472 - Storekeepers and Parts Clerks; 1473 - Production Clerks; 1474 - Purchasing and Inventory Clerks; 1475 - Dispatchers and Radio Operators; 1476 - Transportation Route and Crew Schedulers"
N2110,"Physical Science Professionals","2111 - Physicists and Astronomers; 2112 - Chemists; 2113 - Geologists, Geochemists and Geophysicists; 2114 - Meteorologists; 2115 - Other Professional Occupations in Physical Sciences"
N2120,"Life Science Professionals","2121 - Biologists and Related Scientists; 2122 - Forestry Professionals; 2123 - Agricultural Representatives, Consultants and Specialists"
N2131,"Civil Engineers","2131 - Civil Engineers"
N2132,"Mechanical Engineers","2132 - Mechanical Engineers"
N2133,"Electrical and Electronics Engineers","2133 - Electrical and Electronics Engineers"
N2134,"Chemical Engineers","2134 - Chemical Engineers"
N2141,"Industrial and Manufacturing & Metallurgical and Materials Engineers","2141 - Industrial and Manufacturing Engineers; 2142 - Metallurgical and Materials Engineers"
N2143,"Mining, Geological and Petroleum Engineers","2143 - Mining Engineers; 2144 - Geological Engineers; 2145 - Petroleum Engineers"
N2146,"Aerospace Engineers","2146 - Aerospace Engineers"
N2147,"Computer Engineers","2147 - Computer Engineers"
N2148,"Other Professional Engineers, n.e.c.","2148 - Other Professional Engineers, n.e.c."
N2151,"Architects","2151 - Architects"
N2152,"Landscape Architects, Urban and Land Use Planners and Land Surveyors","2152 - Landscape Architects; 2153 - Urban and Land Use Planners; 2154 - Land Surveyors"
N2161,"Mathematicians, Statisticians and Actuaries","2161 - Mathematicians, Statisticians and Actuaries"
N2171,"Information Systems Analysts and Consultants","2171 - Information Systems Analysts and Consultants"
N2172,"Database Analysts and Data Administrators","2172 - Database Analysts and Data Administrators"
N2173,"Software Engineers","2173 - Software Engineers"
N2174,"Computer Programmers and Interactive Media Developers","2174 - Computer Programmers and Interactive Media Developers"
N2175,"Web Designers and Developers","2175 - Web Designers and Developers"
N2210,"Technical Occupations In Physical Sciences","2211 - Applied Chemical Technologists and Technicians; 2212 - Geological and Mineral Technologists and Technicians; 2213 - Meteorological Technicians"
N2221,"Biological Technologists and Technicians","2221 - Biological Technologists and Technicians"
N2222,"Agricultural and Fish Products Inspectors, Forestry Technologists, Conservation and Fishery Officers","2222 - Agricultural and Fish Products Inspectors; 2223 - Forestry Technologists and Technicians; 2224 - Conservation and Fishery Officers"
N2225,"Landscape and Horticultural Technicians and Specialists","2225 - Landscape and Horticultural Technicians and Specialists"
N2231,"Civil Engineering Technologists and Technicians","2231 - Civil Engineering Technologists and Technicians"
N2232,"Mechanical Engineering Technologists and Technicians","2232 - Mechanical Engineering Technologists and Technicians"
N2233,"Industrial Engineering and Manufacturing Technologists and Technicians","2233 - Industrial Engineering and Manufacturing Technologists and Technicians"
N2234,"Construction Estimators","2234 - Construction Estimators"
N2241,"Electrical and Electronics Engineering Technologists and Technicians","2241 - Electrical and Electronics Engineering Technologists and Technicians"
N2242,"Electronic Service Technicians (Household and Business Equipment)","2242 - Electronic Service Technicians (Household and Business Equipment)"
N2243,"Industrial Instrument Technicians and Mechanics & Aircraft Instrument, Electrical and Avionics Mechanics, Technicians and Inspectors","2243 - Industrial Instrument Technicians and Mechanics; 2244 - Aircraft Instrument, Electrical and Avionics Mechanics, Technicians and Inspectors"
N2250,"Technical Occupations In Architecture, Drafting, Surveying And Mapping","2251 - Architectural Technologists and Technicians; 2252 - Industrial Designers; 2253 - Drafting Technologists and Technicians; 2254 - Survey Technologists and Technicians; 2255 - Mapping and Related Technologists and Technicians"
N2261,"Other Technical Inspectors and Regulatory Officers (Non-destructive Testers and Inspectors, Engineering Inspectors, Inspectors in Public and Environmental Health)","2261 - Nondestructive Testers and Inspectors; 2262 - Engineering Inspectors and Regulatory Officers; 2263 - Inspectors in Public and Environmental Health and Occupational Health and Safety"
N2264,"Construction Inspectors","2264 - Construction Inspectors"
N2270,"Transportation Officers And Controllers","2271 - Air Pilots, Flight Engineers and Flying Instructors; 2272 - Air Traffic Control Occupations; 2273 - Deck Officers, Water Transport; 2274 - Engineer Officers, Water Transport; 2275 - Railway and Marine Traffic Controllers"
N2281,"Computer and Network Operators and Web Technicians","2281 - Computer and Network Operators and Web Technicians"
N2282,"User Support Technicians & Systems Testing Technicians","2282 - User Support Technicians; 2283 - Systems Testing Technicians"
N3111,"Specialist Physicians","3111 - Specialist Physicians"
N3112,"General Practitioners and Family Physicians","3112 - General Practitioners and Family Physicians"
N3113,"Dentists","3113 - Dentists"
N3114,"Veterinarians","3114 - Veterinarians"
N3120,"Optometrists, Chiropractors And Other Health Diagnosing And Treating Professionals","3121 - Optometrists; 3122 - Chiropractors; 3123 - Other Professional Occupations in Health Diagnosing and Treating"
N3131,"Pharmacists","3131 - Pharmacists"
N3132,"Dietitians and Nutritionists","3132 - Dietitians and Nutritionists"
N3141,"Audiologists and Speech","3141 - Audiologists and Speech-Language Pathologists"
N3142,"Physiotherapists","3142 - Physiotherapists"
N3143,"Other Professional Occupations in Therapy and Assessment","3143 - Occupational Therapists; 3144 - Other Professional Occupations in Therapy and Assessment"
N3151,"Head Nurses and Supervisors","3151 - Head Nurses and Supervisors"
N3152,"Registered Nurses","3152 - Registered Nurses"
