N0010,-12.50000,0.300000,0.200000,0.000000,0.400000,0.500000,0.300000,0.200000,0.100000,0.200000,0.100000
N0111,6.300000,1.100000,0.800000,0.800000,0.700000,0.500000,0.500000,0.500000,0.300000,0.400000,0.400000
N0112,2.100000,0.900000,0.700000,0.700000,0.500000,0.400000,0.400000,0.400000,0.200000,0.300000,0.300000
N0121,-1.100000,0.600000,0.400000,0.500000,0.300000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
N0122,8.100000,0.900000,0.700000,0.700000,0.600000,0.400000,0.400000,0.400000,0.300000,0.300000,0.300000
N0123,-1.300000,0.300000,0.200000,0.200000,0.200000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
N0130,-1.200000,-0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
N0211,2.300000,0.900000,0.700000,0.600000,0.500000,0.400000,0.400000,0.400000,0.300000,0.400000,0.400000
N0213,15.40000,2.000000,1.800000,1.700000,1.500000,1.300000,1.200000,1.200000,0.900000,0.900000,0.900000
N0311,-2.400000,0.700000,0.700000,0.700000,0.600000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
N0312,1.800000,0.600000,0.400000,0.400000,0.300000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
N0313,4.100000,0.500000,0.400000,0.400000,0.300000,0.200000,0.200000,0.200000,0.100000,0.200000,0.200000
N0314,-0.700000,0.500000,0.400000,0.300000,0.300000,0.200000,0.200000,0.200000,0.100000,0.200000,0.200000
N0410,1.600000,0.500000,0.400000,0.400000,0.400000,0.300000,0.300000,0.300000,0.200000,0.200000,0.300000
N0510,3.700000,0.300000,0.200000,0.200000,0.200000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
N0611,-17.00000,0.200000,0.400000,0.700000,0.700000,0.600000,0.600000,0.700000,0.400000,0.500000,0.600000
N0621,0.700000,3.100000,-0.300000,-0.300000,0.600000,1.600000,0.800000,0.500000,-0.100000,0.200000,-0.100000
N0631,-7.400000,1.300000,0.900000,0.800000,0.600000,0.300000,0.300000,0.300000,0.000000,0.100000,0.200000
N0632,8.000000,1.700000,0.400000,0.500000,0.500000,0.400000,0.500000,0.300000,0.200000,0.300000,0.300000
N0640,-0.500000,0.100000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
N0650,3.700000,0.300000,0.100000,0.100000,0.100000,0.100000,0.100000,0.200000,0.100000,0.100000,0.100000
N0711,2.500000,0.300000,1.100000,1.400000,0.800000,0.500000,0.700000,0.900000,0.800000,0.700000,0.800000
N0712,5.800000,4.500000,3.100000,2.400000,1.700000,1.100000,1.000000,0.900000,0.600000,0.700000,0.700000
N0713,-1.300000,0.200000,0.200000,0.200000,0.200000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
N0721,-2.200000,0.200000,0.200000,0.200000,0.200000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000
N0811,2.500000,-0.500000,0.200000,0.100000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
N0910,10.00000,1.600000,0.200000,0.300000,0.500000,0.500000,0.600000,0.400000,0.200000,0.300000,0.300000
N1111,-2.000000,5.200000,3.900000,3.400000,2.900000,2.200000,2.000000,2.000000,1.400000,1.500000,1.600000
N1112,9.900000,1.400000,1.200000,1.100000,1.100000,0.900000,0.900000,0.900000,0.600000,0.700000,0.700000
N1114,7.700000,2.300000,1.800000,2.000000,1.300000,0.800000,0.900000,1.000000,0.700000,0.800000,1.000000
N1121,2.500000,2.200000,1.700000,1.400000,1.200000,0.900000,0.900000,0.800000,0.600000,0.600000,0.600000
N1122,10.70000,3.900000,3.900000,4.000000,3.700000,3.300000,3.300000,3.300000,2.900000,3.000000,3.100000
N1211,0.400000,0.200000,0.100000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
N1212,6.100000,0.800000,0.700000,0.700000,0.500000,0.300000,0.400000,0.400000,0.200000,0.300000,0.300000
N1213,-0.900000,1.500000,1.000000,0.900000,0.800000,0.600000,0.500000,0.500000,0.300000,0.400000,0.400000
N1221,11.30000,5.300000,4.300000,4.100000,3.600000,2.800000,2.800000,2.900000,2.100000,2.400000,2.500000
N1223,1.400000,1.100000,0.800000,0.700000,0.600000,0.400000,0.400000,0.400000,0.300000,0.300000,0.300000
