N1411,2.500000,2.500000,2.600000,2.500000,2.500000,2.600000,2.600000,2.600000,2.600000,2.600000,2.600000
N1414,6.400000,6.600000,6.700000,6.600000,6.500000,6.600000,6.600000,6.600000,6.600000,6.700000,6.800000
N1420,1.700000,1.700000,1.700000,1.700000,1.700000,1.700000,1.700000,1.700000,1.700000,1.700000,1.800000
N1431,3.300000,3.400000,3.500000,3.500000,3.500000,3.600000,3.600000,3.600000,3.600000,3.700000,3.700000
N1432,0.700000,0.800000,0.800000,0.800000,0.800000,0.800000,0.900000,0.900000,0.900000,0.900000,0.900000
N1433,4.100000,4.100000,4.300000,4.200000,4.200000,4.300000,4.300000,4.300000,4.300000,4.300000,4.400000
N1434,1.800000,1.900000,2.000000,1.900000,1.900000,2.000000,2.000000,2.000000,2.000000,2.000000,2.000000
N1440,7.000000,7.200000,7.400000,7.400000,7.400000,7.500000,7.600000,7.600000,7.600000,7.700000,7.800000
N1450,7.200000,7.400000,7.600000,7.500000,7.500000,7.600000,7.600000,7.600000,7.700000,7.800000,7.900000
N1461,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
N1462,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
N1463,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.600000,0.600000,0.600000,0.600000,0.700000
N1471,3.300000,3.400000,3.400000,3.400000,3.400000,3.400000,3.400000,3.400000,3.400000,3.400000,3.500000
N1472,2.300000,2.400000,2.400000,2.500000,2.500000,2.500000,2.500000,2.500000,2.500000,2.600000,2.600000
N2110,0.800000,0.800000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000
N2120,0.700000,0.700000,0.800000,0.700000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000
N2131,2.000000,2.100000,2.200000,2.100000,2.100000,2.200000,2.200000,2.200000,2.200000,2.200000,2.300000
N2132,1.400000,1.400000,1.500000,1.500000,1.500000,1.500000,1.500000,1.500000,1.600000,1.600000,1.600000
N2133,1.000000,1.100000,1.100000,1.100000,1.100000,1.100000,1.100000,1.100000,1.100000,1.200000,1.200000
N2134,0.300000,0.300000,0.400000,0.300000,0.300000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
N2141,0.600000,0.600000,0.700000,0.600000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000,0.700000
N2143,1.000000,1.000000,1.100000,1.000000,1.000000,1.100000,1.100000,1.100000,1.100000,1.100000,1.100000
N2146,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.200000,0.200000,0.200000,0.200000
N2147,0.700000,0.700000,0.800000,0.700000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000
N2148,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
N2151,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
N2152,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.700000,0.700000,0.700000
N2161,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.300000,0.300000,0.300000,0.300000
N2171,3.600000,3.600000,3.800000,3.700000,3.800000,3.800000,3.800000,3.900000,3.900000,3.900000,4.000000
N2172,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.900000
N2173,1.700000,1.700000,1.800000,1.800000,1.800000,1.800000,1.800000,1.800000,1.800000,1.800000,1.900000
N2174,5.300000,5.300000,5.500000,5.400000,5.500000,5.600000,5.600000,5.700000,5.700000,5.800000,5.900000
N2175,1.600000,1.500000,1.600000,1.600000,1.600000,1.600000,1.600000,1.600000,1.600000,1.700000,1.700000
N2210,1.100000,1.200000,1.300000,1.300000,1.300000,1.300000,1.300000,1.300000,1.300000,1.300000,1.300000
N2221,0.400000,0.400000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
N2222,0.400000,0.400000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
N2225,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
N2231,0.700000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000,0.800000
N2232,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000
N2233,0.400000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
N2234,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
N2241,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.600000
N2242,1.400000,1.400000,1.400000,1.400000,1.500000,1.500000,1.500000,1.500000,1.500000,1.500000,1.500000
N2243,0.400000,0.400000,0.400000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
N2250,2.200000,2.300000,2.400000,2.400000,2.400000,2.400000,2.400000,2.500000,2.500000,2.500000,2.500000
N2261,0.900000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.100000,1.100000,1.100000,1.100000
N2264,0.200000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000,0.300000
N2270,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
N2281,1.300000,1.400000,1.400000,1.400000,1.500000,1.500000,1.500000,1.500000,1.500000,1.500000,1.500000
N2282,2.100000,2.300000,2.300000,2.300000,2.400000,2.400000,2.400000,2.400000,2.500000,2.500000,2.500000
N3111,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000
N3112,0.800000,0.800000,0.900000,0.800000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000,0.900000
N3113,0.500000,0.500000,0.600000,0.500000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000,0.600000
N3114,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000,0.200000
N3120,0.400000,0.400000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
N3131,1.100000,1.100000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.200000,1.300000
N3132,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000,0.400000
N3141,0.400000,0.400000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000,0.500000
N3142,1.000000,1.000000,1.100000,1.000000,1.100000,1.100000,1.100000,1.100000,1.100000,1.100000,1.100000
N3143,1.100000,1.200000,1.200000,1.200000,1.200000,1.200000,1.300000,1.300000,1.300000,1.300000,1.300000
